Account ID,Account Age,Total Accrued
5523A,22,5174
5524A,25,5387
5525A,34,16834
5526A,28,6715
5527A,12,542
5528A,18,2007
5529A,24,6432
5530A,20,4696
5531A,10,320
5532A,10,463
5533A,24,6946
5534A,27,7731
5535A,16,2101
5536A,13,1265
5537A,11,393
5538A,19,2950
5539A,21,2321
5540A,17,2046
5541A,10,667
5542A,15,1052
5543A,18,2699
5544A,31,13665
5545A,14,1803
5546A,32,15215
5547A,17,2199
5548A,25,6369
5549A,23,4617
5550A,31,13305
5551A,17,2337
5552A,24,6939
5553A,16,2072
5554A,24,7403
5555A,26,7785
5556A,21,3069
5557A,11,944
5558A,30,12177
5559A,26,6495
5560A,35,19952
5561A,29,11991
5562A,35,15586
5563A,33,13166
5564A,17,2471
5565A,17,2814
5566A,22,5380
5567A,19,3072
5568A,17,1493
5569A,15,1296
5570A,21,4601
5571A,22,5405
5572A,27,8243
5573A,13,819
5574A,24,4755
5575A,15,1478
5576A,13,945
5577A,14,2068
5578A,15,1470
5579A,21,2430
5580A,23,5042
5581A,30,10419
5582A,12,447
5583A,14,1123
5584A,29,9513
5585A,32,11302
5586A,11,1251
5587A,35,19823
5588A,29,12112
5589A,19,3864
5590A,19,3395
5591A,34,13748
5592A,30,9159
5593A,29,9961
5594A,25,6604
5595A,13,1605
5596A,34,18497
5597A,14,1450
5598A,13,1238
5599A,34,14703
5600A,23,3143
5601A,27,8571
5602A,30,10566
5603A,17,2941
5604A,29,9456
5605A,25,4842
5606A,31,12216
5607A,20,2448
5608A,34,15065
5609A,21,4000
5610A,10,239
5611A,22,5385
5612A,11,371
5613A,22,5165
5614A,29,7115
5615A,21,2467
5616A,27,6609
5617A,19,3899
5618A,30,8946
5619A,11,1033
5620A,34,12649
5621A,10,450
5622A,19,3634
5623A,29,10503
5624A,16,1426
5625A,27,6080
5626A,36,16006
5627A,36,18795
5628A,31,9574
5629A,26,6553
5630A,30,7727
5631A,31,14160
5632A,12,561
5633A,18,1783
5634A,24,5926
5635A,32,14069
5636A,31,11211
5637A,22,5735
5638A,33,16325
5639A,22,3309
5640A,37,19108
5641A,29,10354
5642A,31,11047
5643A,29,9001
5644A,17,1160
5645A,11,769
5646A,11,872
5647A,28,6428
5648A,24,6490
5649A,33,14158
5650A,35,16116
5651A,12,1037
5652A,13,1760
5653A,10,955
5654A,12,1263
5655A,26,6461
5656A,17,2446
5657A,16,1947
5658A,18,3095
5659A,16,1530
5660A,22,2731
5661A,12,1061
5662A,13,1637
5663A,22,3116
5664A,17,1945
5665A,43,32037
5666A,10,513
5667A,15,1317
5668A,43,29289
5669A,33,11763
5670A,23,3168
5671A,39,25366
5672A,18,1685
5673A,33,10809
5674A,45,30714
5675A,41,27407
5676A,16,1115
5677A,33,13904
5678A,29,9230
5679A,50,44206
5680A,27,6613
5681A,20,2179
5682A,21,4309
5683A,20,4640
5684A,20,2218
5685A,30,13170
5686A,43,26863
5687A,15,1053
5688A,22,5561
5689A,10,608
5690A,42,29742
5691A,40,21573
5692A,48,40569
5693A,23,3114
5694A,21,3265
5695A,10,533
5696A,49,39880
5697A,35,18217
5698A,16,1258
5699A,32,10697
5700A,28,6278
5701A,29,10688
5702A,33,12718
5703A,13,611
5704A,33,11151
5705A,40,27174
5706A,16,1026
5707A,49,50370
5708A,10,597
5709A,14,1464
5710A,49,46809
5711A,12,891
5712A,35,13546
5713A,44,37491
5714A,47,35054
5715A,24,7483
5716A,45,30444
5717A,17,1319
5718A,15,1684
5719A,46,33611
5720A,18,2446
5721A,11,747
5722A,48,44179
5723A,44,30643
5724A,19,3357
5725A,50,52341
5726A,43,28718
5727A,45,28982
5728A,28,6131
5729A,43,26702
5730A,50,44789
5731A,19,3024
5732A,47,44272
5733A,22,4465
5734A,28,10075
5735A,13,950
5736A,47,35990
5737A,30,12433
5738A,18,1652
5739A,42,23904
5740A,46,38999
5741A,13,1776
5742A,31,11459
5743A,45,31579
5744A,47,41533
5745A,30,10026
5746A,18,1539
5747A,50,43342
5748A,26,7828
5749A,43,30311
5750A,14,1128
5751A,40,28367
5752A,10,1004
5753A,35,13934
5754A,37,16155
5755A,14,1947
5756A,10,689
5757A,24,4832
5758A,49,37930
5759A,21,5020
5760A,26,7782
5761A,47,42319
5762A,37,17535
5763A,11,743
5764A,24,5502
5765A,28,10287
5766A,44,36977
5767A,23,6267
5768A,25,5640
5769A,36,19813
5770A,30,12900
5771A,41,22201
5772A,38,23462
5773A,41,25359
5774A,24,6838
5775A,27,8396
5776A,47,38234
5777A,40,28338
5778A,22,3154
5779A,11,1269
5780A,15,1375
5781A,32,10008
5782A,16,1907
5783A,27,7322
5784A,49,40149
5785A,34,13196
5786A,20,3542
5787A,42,31285
5788A,44,33631
5789A,39,20234
5790A,32,10466
5791A,20,4658
5792A,16,1099
5793A,10,803
5794A,27,5362
5795A,40,20195
5796A,38,21796
5797A,47,41909
5798A,26,5445
5799A,11,808
5800A,20,4143
5801A,38,19849
5802A,20,3909
5803A,38,21124
5804A,13,1427
5805A,35,17027
5806A,36,14356
5807A,16,2153
5808A,41,23868
5809A,49,49303
5810A,40,20157
5811A,13,1004
5812A,15,847
5813A,22,5279
5814A,47,36946
5815A,48,38935
5816A,24,4904
5817A,43,34142
5818A,15,1760
5819A,18,3182
5820A,49,38611
5821A,44,35585
5822A,44,28003
5823A,50,42536
5824A,38,21933
5825A,24,6357
5826A,28,9957
5827A,34,17319
5828A,31,10799
5829A,39,23289
5830A,30,7496
5831A,24,5775
5832A,46,32880
5833A,27,7625
5834A,29,8460
5835A,19,2564
5836A,24,3968
5837A,40,26388
5838A,29,9655
5839A,23,6432
5840A,16,2371
5841A,44,27597
5842A,33,14874
5843A,45,37085
5844A,50,42247
5845A,22,3349
5846A,16,2238
5847A,47,35333
5848A,30,8923
5849A,32,12493
5850A,49,41387
5851A,13,1082
5852A,17,1337
5853A,19,4252
5854A,29,9135
5855A,14,1979
5856A,27,7088
5857A,37,16614
5858A,41,26872
5859A,33,12125
5860A,49,43785
5861A,22,3083
5862A,12,400
5863A,41,21463
5864A,29,6672
5865A,17,1864
5866A,35,18181
5867A,12,950
5868A,24,6474
5869A,19,2608
5870A,43,29149
5871A,24,5682
5872A,18,3574
5873A,38,24080
5874A,13,1700
5875A,31,9636
5876A,45,34506
5877A,23,5096
5878A,40,21542
5879A,12,1080
5880A,33,13178
5881A,44,31646
5882A,25,4702
5883A,12,965
5884A,19,1838
5885A,17,2254
5886A,14,1009
5887A,12,1283
5888A,10,266
5889A,16,1371
5890A,12,642
5891A,20,4054
5892A,17,1153
5893A,20,3741
5894A,16,1376
5895A,16,2298
5896A,11,685
5897A,13,1121
5898A,18,3689
5899A,16,2213
5900A,14,1502
5901A,16,2806
5902A,12,427
5903A,12,1003
5904A,13,1560
5905A,10,424
5906A,18,1836
5907A,12,1153
5908A,13,1611
5909A,12,417
5910A,14,1401
5911A,16,1774
5912A,16,1475
5913A,20,3784
5914A,20,3263
5915A,20,2089
5916A,18,2862
5917A,16,1503
5918A,18,2386
5919A,11,507
5920A,18,2539
5921A,20,2100
5922A,12,956
5923A,16,2772
5924A,18,1848
5925A,10,962
5926A,19,1682
5927A,11,755
5928A,18,2790
5929A,16,1605
5930A,12,616
5931A,20,4206
5932A,11,1249
5933A,12,1049
5934A,11,338
5935A,11,939
5936A,11,660
5937A,19,3914
5938A,14,1263
5939A,13,726
5940A,14,1695
5941A,12,1186
5942A,20,2440
5943A,15,1763
5944A,12,654
5945A,17,1474
5946A,12,659
5947A,14,1053
5948A,20,4242
5949A,14,861
5950A,17,2418
5951A,15,1026
5952A,25,5665
5953A,24,6717
5954A,33,12117
5955A,16,2337
5956A,19,1846
5957A,33,15783
5958A,12,894
5959A,23,3985
5960A,31,13262
5961A,26,8597
5962A,33,11344
5963A,35,18828
5964A,23,5758
5965A,31,11616
5966A,18,2546
5967A,21,5122
5968A,20,4249
5969A,13,1118
5970A,24,4624
5971A,11,983
5972A,14,1690
5973A,23,6432
5974A,26,9134
5975A,11,1010
5976A,27,10046
5977A,10,1015
5978A,20,3639
5979A,33,12564
5980A,27,6471
5981A,35,16720
5982A,21,3739
5983A,35,16984
5984A,34,16835
5985A,12,507
5986A,31,12539
5987A,19,3193
5988A,13,1586
5989A,26,8924
5990A,29,9066
5991A,27,7106
5992A,19,3185
5993A,13,733
5994A,25,4116
5995A,35,15600
5996A,26,6194
5997A,23,6722
5998A,12,1459
5999A,23,4070
6000A,35,16226
6001A,10,866
6002A,47,35086
6003A,37,21239
6004A,50,49693
6005A,25,4615
6006A,37,16493
6007A,24,7340
6008A,46,36494
6009A,20,3517
6010A,23,5423
6011A,35,17806
6012A,24,4965
6013A,14,764
6014A,14,1943
6015A,48,40710
6016A,15,896
6017A,45,38927
6018A,45,32492
6019A,48,41363
6020A,35,19582
6021A,45,32049
6022A,22,5243
6023A,49,44938
6024A,47,44744
6025A,35,14871
6026A,25,7040
6027A,36,16875
6028A,39,19045
6029A,38,22608
6030A,12,1272
6031A,47,37549
6032A,36,16821
6033A,28,10898
6034A,48,43576
6035A,50,40887
6036A,19,3531
6037A,47,39609
6038A,40,23917
6039A,26,6205
6040A,11,479
6041A,31,11821
6042A,28,10480
6043A,33,10665
6044A,28,8080
6045A,41,24353
6046A,35,12467
6047A,30,12697
6048A,23,4165
6049A,14,1730
6050A,22,4039
6051A,27,6615
6052A,30,9338
6053A,14,1985
6054A,25,5595
6055A,32,10318
6056A,26,6397
6057A,31,12806
6058A,25,4328
6059A,15,1870
6060A,46,35829
6061A,15,1911
6062A,16,1454
6063A,44,27706
6064A,48,35903
6065A,34,13838
6066A,46,34309
6067A,41,22471
6068A,21,4182
6069A,15,1909
6070A,10,433
6071A,43,32060
6072A,37,18019
6073A,17,2254
6074A,39,20207
6075A,49,49323
6076A,23,5943
6077A,36,16127
6078A,34,14755
6079A,19,2928
6080A,32,9596
6081A,26,8632
6082A,33,15770
6083A,43,32071
6084A,22,4327
6085A,16,1912
6086A,28,8085
6087A,41,24215
6088A,10,415
6089A,41,21792
6090A,32,15275
6091A,37,19952
6092A,21,4255
6093A,29,10439
6094A,30,11644
6095A,30,9478
6096A,21,4686
6097A,13,638
6098A,35,13603
6099A,16,1333
6100A,23,5595
6101A,36,14841
6102A,12,1356
6103A,11,419
6104A,33,16545
6105A,23,4491
6106A,28,7666
6107A,45,39467
6108A,21,2337
6109A,28,7445
6110A,23,5193
6111A,27,7051
6112A,28,10551
6113A,12,1101
6114A,19,2608
6115A,16,2273
6116A,25,7092
6117A,27,6256
6118A,46,37334
6119A,33,11618
6120A,13,1489
6121A,13,1610
6122A,41,24501
6123A,45,39974
6124A,40,24098
6125A,36,14611
6126A,17,2525
6127A,35,16392
6128A,37,21898
6129A,30,12988
6130A,33,14704
6131A,50,47536
6132A,25,4753
6133A,45,31327
6134A,42,27336
6135A,46,41671
6136A,38,23617
6137A,50,44400
6138A,19,2713
6139A,22,3643
6140A,19,1789
6141A,25,5746
6142A,32,11490
6143A,32,10195
6144A,27,7007
6145A,32,10221
6146A,44,37407
6147A,10,437
6148A,44,28414
6149A,28,6516
6150A,44,36978
6151A,48,46344
6152A,15,988
6153A,30,13164
6154A,36,19338
6155A,16,1712
6156A,44,28774
6157A,20,3396
6158A,26,8864
6159A,42,26149
6160A,40,24996
6161A,42,29071
6162A,38,24039
6163A,23,3685
6164A,14,933
6165A,31,11749
6166A,20,3251
6167A,45,37404
6168A,10,359
6169A,39,19184
6170A,47,42194
6171A,48,43660
6172A,45,32859
6173A,33,11876
6174A,31,13202
6175A,35,16356
6176A,21,2783
6177A,47,33269
6178A,47,41636
6179A,40,20624
6180A,28,6501
6181A,19,1694
6182A,13,1111
6183A,20,4145
6184A,34,17523
6185A,38,21156
6186A,25,7875
6187A,17,1372
6188A,42,28261
6189A,50,43467
6190A,15,2455
6191A,42,26630
6192A,31,12343
6193A,38,22359
6194A,21,4536
6195A,41,28916
6196A,42,24906
6197A,49,47755
6198A,37,20025
6199A,32,14919
6200A,29,8830
6201A,48,40292
6202A,24,5987
6203A,20,2220
6204A,26,5099
6205A,25,6682
6206A,41,21165
6207A,34,17872
6208A,22,3790
6209A,16,2857
6210A,40,28812
6211A,11,484
6212A,28,11050
6213A,37,15329
6214A,49,37915
6215A,39,23999
6216A,44,35176
6217A,25,5870
6218A,43,29453
6219A,18,2642
6220A,22,2787
6221A,10,293
6222A,20,4495
6223A,16,2535
6224A,15,807
6225A,10,385
6226A,19,4252
6227A,19,2082
6228A,12,1248
6229A,17,1209
6230A,13,575
6231A,11,657
6232A,18,1969
6233A,13,1084
6234A,15,1830
6235A,11,1122
6236A,15,1155
6237A,19,1986
6238A,11,642
6239A,19,2045
6240A,11,669
6241A,16,2024
6242A,14,1914
6243A,12,938
6244A,16,2229
6245A,20,2796
6246A,13,954
6247A,18,1521
6248A,10,372
6249A,18,3511
6250A,11,999
6251A,15,769
6252A,15,1046
6253A,14,943
6254A,12,1012
6255A,15,894
6256A,14,1064
6257A,14,1155
6258A,13,1330
6259A,17,2964
6260A,15,2431
6261A,18,1521
6262A,12,1159
6263A,16,1069
6264A,16,1306
6265A,12,1140
6266A,11,976
6267A,11,1078
6268A,12,1244
6269A,13,1637
6270A,15,1840
6271A,17,1389
6272A,16,1974
6273A,15,1919
6274A,16,2797
6275A,18,2712
6276A,20,3450
6277A,20,3419
6278A,12,1051
6279A,14,1938
6280A,11,497
6281A,10,517
6282A,10,246
6283A,19,2760
6284A,19,2918
6285A,16,1630
6286A,12,1415
6287A,18,2343
6288A,12,1251
6289A,10,199
6290A,13,1604
6291A,18,3432
6292A,12,996
6293A,11,642
6294A,21,2305
6295A,22,5988
6296A,13,1020
6297A,35,17795
6298A,35,15158
6299A,11,505
6300A,35,18556
6301A,16,1033
6302A,11,385
6303A,15,1409
6304A,27,8670
6305A,10,499
6306A,26,8292
6307A,23,4161
6308A,30,11102
6309A,27,8855
6310A,20,2264
6311A,32,10536
6312A,26,7822
6313A,20,2035
6314A,22,5749
6315A,31,13620
6316A,11,1019
6317A,26,8292
6318A,33,16910
6319A,12,1062
6320A,34,15483
6321A,33,13534
6322A,33,11690
6323A,16,1624
6324A,30,13067
6325A,28,6788
6326A,28,8797
6327A,32,10053
6328A,13,468
6329A,27,6952
6330A,19,3692
6331A,11,718
6332A,16,2517
6333A,20,3925
6334A,26,8735
6335A,22,5677
6336A,21,4814
6337A,14,1204
6338A,12,1386
6339A,18,2572
6340A,29,11569
6341A,28,10974
6342A,19,3817
6343A,26,8637
6344A,25,6133
6345A,12,835
6346A,20,1969
6347A,15,1197
6348A,35,13310
6349A,29,11915
6350A,16,1171
6351A,26,7668
6352A,26,8941
6353A,25,4846
6354A,30,12803
6355A,25,5126
6356A,18,2862
6357A,29,11570
6358A,20,4667
6359A,12,486
6360A,33,11179
6361A,10,290
6362A,18,1483
6363A,22,4144
6364A,27,8693
6365A,27,6411
6366A,13,1706
6367A,22,4697
6368A,34,17661
6369A,33,16869
6370A,13,1590
6371A,18,2860
6372A,19,2309
6373A,20,4315
6374A,35,15091
6375A,13,750
6376A,22,4688
6377A,14,839
6378A,12,977
6379A,21,2527
6380A,23,4130
6381A,28,11053
6382A,28,6835
6383A,20,3201
6384A,16,1435
6385A,32,10780
6386A,24,7003
6387A,18,3443
6388A,24,3630
6389A,14,2093
6390A,23,3291
6391A,10,893
6392A,13,745
6393A,14,2014
6394A,22,3441
6395A,34,15094
6396A,37,14957
6397A,31,9841
6398A,16,1219
6399A,24,4142
6400A,12,598
6401A,24,4808
6402A,11,894
6403A,20,2900
6404A,15,2114
6405A,29,7575
6406A,39,18537
6407A,10,674
6408A,14,1135
6409A,19,3306
6410A,29,8086
6411A,14,2030
6412A,26,7587
6413A,13,1160
6414A,37,19508
6415A,24,4583
6416A,27,6466
6417A,16,1249
6418A,24,6975
6419A,24,6158
6420A,17,2977
6421A,27,7264
6422A,15,961
6423A,23,3251
6424A,33,10229
6425A,37,21160
6426A,28,8933
6427A,23,3310
6428A,24,3587
6429A,17,1221
6430A,16,2403
6431A,30,10342
6432A,27,7695
6433A,10,529
6434A,23,5532
6435A,21,2975
6436A,37,22458
6437A,43,33069
6438A,12,857
6439A,36,14125
6440A,37,19401
6441A,16,2048
6442A,14,1686
6443A,21,3217
6444A,40,23840
6445A,10,379
6446A,31,11058
6447A,27,8311
6448A,14,805
6449A,11,798
6450A,31,12805
6451A,40,26832
6452A,50,44110
6453A,30,10113
6454A,23,6699
6455A,33,11151
6456A,50,52039
6457A,17,1660
6458A,22,5016
6459A,45,28739
6460A,41,30550
6461A,37,17825
6462A,50,44283
6463A,26,7360
6464A,25,4302
6465A,46,37253
6466A,34,18480
6467A,36,17201
6468A,11,722
6469A,35,12897
6470A,42,32389
6471A,26,5626
6472A,22,4473
6473A,32,14186
6474A,28,7622
6475A,40,20235
6476A,35,12507
6477A,15,1677
6478A,28,11076
6479A,42,31802
6480A,10,890
6481A,17,2410
6482A,15,1596
6483A,17,2874
6484A,15,2312
6485A,43,27437
6486A,50,43010
6487A,27,8603
6488A,14,1659
6489A,29,9219
6490A,12,1099
6491A,17,2660
6492A,45,30741
6493A,19,4166
6494A,50,50521
6495A,41,21524
6496A,44,36440
6497A,13,597
6498A,26,6556
6499A,43,28883
6500A,20,4693
6501A,21,4177
6502A,24,5180
6503A,18,2827
6504A,24,5614
6505A,15,1874
6506A,16,2089
6507A,36,16878
6508A,24,6317
6509A,26,6015
6510A,26,6539
6511A,27,8986
6512A,49,51292
6513A,23,6625
6514A,19,3030
6515A,26,6255
6516A,39,19190
6517A,15,1729
6518A,22,3115
6519A,14,886
6520A,26,6806
6521A,16,1831
6522A,38,17374
6523A,29,8834
6524A,30,9058
6525A,32,12039
6526A,11,1041
6527A,40,26584
6528A,19,3997
6529A,31,9074
6530A,18,3008
6531A,31,10453
6532A,45,36757
6533A,46,41919
6534A,37,16288
6535A,43,30404
6536A,13,1265
6537A,36,14144
6538A,29,8042
6539A,46,31916
6540A,37,17428
6541A,19,2698
6542A,50,42600
6543A,47,36016
6544A,12,725
6545A,26,5938
6546A,11,1012
6547A,13,1480
6548A,21,3069
6549A,19,2432
6550A,32,10976
6551A,25,6841
6552A,14,659
6553A,49,51221
6554A,12,1128
6555A,18,3678
6556A,46,33006
6557A,10,748
6558A,20,4660
6559A,45,35077
6560A,25,4401
6561A,38,24969
6562A,20,3731
6563A,19,1892
6564A,48,47163
6565A,50,41118
6566A,14,703
6567A,22,4900
6568A,36,21142
6569A,25,7528
6570A,15,1391
6571A,24,5567
6572A,41,21373
6573A,12,874
6574A,32,9642
6575A,10,1037
6576A,43,31009
6577A,48,46431
6578A,13,1385
6579A,24,6324
6580A,44,31542
6581A,29,8260
6582A,50,43521
6583A,50,44591
6584A,19,2760
6585A,23,3406
6586A,49,47651
6587A,35,17013
6588A,40,23883
6589A,15,1762
6590A,50,50671
6591A,26,8798
6592A,23,5163
6593A,43,25362
6594A,32,11213
6595A,32,13433
6596A,46,41530
6597A,45,31514
6598A,32,14404
6599A,27,8461
6600A,48,48234
6601A,32,11798
6602A,20,3645
6603A,31,8684
6604A,24,6715
6605A,36,16762
6606A,17,2285
6607A,49,39891
6608A,47,44303
6609A,31,9984
6610A,50,50773
6611A,16,2701
6612A,43,26490
6613A,15,2273
6614A,42,32770
6615A,12,579
6616A,34,18410
6617A,45,38252
6618A,15,2277
6619A,17,2006
6620A,13,971
6621A,13,1648
6622A,37,20929
6623A,10,680
6624A,29,11575
6625A,28,8087
6626A,36,15243
6627A,36,20396
6628A,33,11879
6629A,48,43745
6630A,17,3085
6631A,11,1185
6632A,34,15223
6633A,39,23197
6634A,25,5065
6635A,39,26471
6636A,21,3060
6637A,33,11865
6638A,28,9462
6639A,11,1241
6640A,20,4037
6641A,17,1493
6642A,30,8915
6643A,39,25050
6644A,46,33222
6645A,47,40762
6646A,48,47987
6647A,32,15241
6648A,34,15271
6649A,38,24313
6650A,12,1516
6651A,49,38789
6652A,19,1690
6653A,46,37182
6654A,18,3312
6655A,19,2107
6656A,12,475
6657A,17,1899
6658A,16,1597
6659A,17,1259
6660A,10,998
6661A,12,1340
6662A,14,678
6663A,16,1176
6664A,18,1388
6665A,12,566
6666A,12,882
6667A,16,2468
6668A,17,3271
6669A,15,1888
6670A,15,1591
6671A,19,2763
6672A,19,2178
6673A,18,3215
6674A,13,1439
6675A,20,2138
6676A,19,3704
6677A,13,1648
6678A,10,481
6679A,16,1390
6680A,12,1041
6681A,20,2941
6682A,20,2844
6683A,10,668
6684A,16,1985
6685A,10,666
6686A,19,2597
6687A,13,1771
6688A,10,958
6689A,19,2154
6690A,20,3329
6691A,10,872
6692A,13,1217
6693A,18,2937
6694A,20,2303
6695A,12,361
6696A,13,1081
6697A,17,2352
6698A,17,2028
6699A,14,1046
6700A,19,3626
6701A,19,3380
6702A,18,3605
6703A,17,3133
6704A,16,1259
6705A,16,2152
6706A,20,4635
6707A,18,2460
6708A,18,3312
6709A,19,3089
6710A,15,793
6711A,10,798
6712A,19,2550
6713A,11,356
6714A,16,2282
6715A,20,3996
6716A,17,1768
6717A,19,3283
6718A,10,452
6719A,11,690
6720A,14,1849
6721A,15,2250
6722A,25,5029
6723A,13,1011
6724A,29,8635
6725A,34,16499
6726A,21,3487
6727A,27,9634
6728A,14,1907
6729A,33,13181
6730A,26,6661
6731A,32,14926
6732A,11,795
6733A,32,10919
6734A,10,372
6735A,14,2026
6736A,18,2301
6737A,18,1907
6738A,30,8211
6739A,24,4891
6740A,21,5360
6741A,35,17599
6742A,35,19421
6743A,26,6427
6744A,18,1446
6745A,20,4017
6746A,17,2716
6747A,34,18227
6748A,12,1447
6749A,30,11760
6750A,20,2901
6751A,35,19324
6752A,19,2648
6753A,19,3161
6754A,24,4377
6755A,18,3034
6756A,22,4356
6757A,34,12361
6758A,22,4871
6759A,17,2178
6760A,32,10410
6761A,12,828
6762A,11,444
6763A,31,10491
6764A,20,3951
6765A,17,1332
6766A,17,2889
6767A,20,3752
6768A,26,7747
6769A,32,13431
6770A,33,11070
6771A,29,8742
6772A,30,12998
6773A,30,8144
6774A,30,7733
6775A,25,6070
6776A,26,8887
6777A,15,901
6778A,30,12663
6779A,26,8827
6780A,11,898
6781A,31,13652
6782A,26,4903
6783A,30,9436
6784A,10,413
6785A,13,1102
6786A,11,513
6787A,26,7456
6788A,21,2823
6789A,14,893
6790A,27,7398
6791A,22,3931
6792A,35,16896
6793A,25,7111
6794A,28,9672
6795A,16,2073
6796A,10,404
6797A,25,4604
6798A,26,8017
6799A,22,4641
6800A,32,9876
6801A,27,6463
6802A,32,12585
6803A,31,9639
6804A,22,4313
6805A,10,349
6806A,23,5656
6807A,10,980
6808A,10,725
6809A,25,8131
6810A,14,1683
6811A,16,1152
6812A,30,8656
6813A,11,885
6814A,34,12372
6815A,14,1884
6816A,34,14204
6817A,19,2378
6818A,19,2967
6819A,12,1418
6820A,23,5859
6821A,30,12795
6822A,20,2315
6823A,20,4278
6824A,19,3151
6825A,29,11325
6826A,14,1846
6827A,25,4745
6828A,27,9518
6829A,26,5885
6830A,15,1866
6831A,37,18176
6832A,37,15285
6833A,40,22259
6834A,35,18619
6835A,14,739
6836A,35,17127
6837A,12,749
6838A,39,23495
6839A,17,1522
6840A,32,9674
6841A,26,7779
6842A,29,11643
6843A,40,24808
6844A,14,1032
6845A,11,1156
6846A,40,24254
6847A,36,16833
6848A,20,2595
6849A,31,14347
6850A,32,13351
6851A,13,1457
6852A,38,24961
6853A,22,5468
6854A,24,3960
6855A,34,13709
6856A,29,7404
6857A,27,6222
6858A,27,9955
6859A,28,10934
6860A,25,4856
6861A,24,3880
6862A,47,45179
6863A,49,42306
6864A,14,1307
6865A,24,6196
6866A,23,5303
6867A,13,1194
6868A,45,38102
6869A,38,23366
6870A,10,311
6871A,18,3202
6872A,13,1543
6873A,24,7035
6874A,36,18296
6875A,32,12591
6876A,30,10170
6877A,10,632
6878A,46,35948
6879A,13,1162
6880A,44,34978
6881A,19,2833
6882A,18,3575
6883A,48,40418
6884A,46,31813
6885A,46,37301
6886A,37,22573
6887A,16,1673
6888A,37,22400
6889A,25,7115
6890A,42,29432
6891A,39,26690
6892A,41,28888
6893A,39,21021
6894A,38,17239
6895A,17,1241
6896A,26,4664
6897A,10,547
6898A,19,3452
6899A,30,7501
6900A,12,489
6901A,16,1427
6902A,39,20779
6903A,49,51242
6904A,19,1899
6905A,22,2743
6906A,35,15044
6907A,29,6748
6908A,45,33915
6909A,30,12999
6910A,49,47620
6911A,10,938
6912A,26,8096
6913A,49,39780
6914A,37,19078
6915A,48,47119
6916A,44,37467
6917A,24,5325
6918A,14,1284
6919A,31,8393
6920A,11,559
6921A,12,1055
6922A,16,1680
6923A,36,19777
6924A,41,26354
6925A,15,2199
6926A,14,1497
6927A,37,16431
6928A,45,30084
6929A,24,5601
6930A,34,13262
6931A,20,3436
6932A,25,5372
6933A,43,29583
6934A,12,545
6935A,50,47978
6936A,16,1136
6937A,40,20744
6938A,50,47098
6939A,36,18668
6940A,32,10892
6941A,39,26047
6942A,41,29884
6943A,11,1252
6944A,22,5951
6945A,19,3501
6946A,35,15533
6947A,18,3064
6948A,36,16255
6949A,23,4383
6950A,20,2170
6951A,16,1897
6952A,11,1007
6953A,11,1170
6954A,25,4119
6955A,13,863
6956A,20,3694
6957A,22,5589
6958A,24,4379
6959A,32,9340
6960A,46,34731
6961A,20,3324
6962A,37,15607
6963A,27,7019
6964A,14,685
6965A,28,10754
6966A,45,36643
6967A,37,16647
6968A,29,6788
6969A,38,20818
6970A,49,38965
6971A,29,7145
6972A,18,2031
6973A,43,35199
6974A,46,34393
6975A,24,6833
6976A,10,328
6977A,12,1149
6978A,17,2977
6979A,42,26350
6980A,29,11298
6981A,49,39749
6982A,11,1068
6983A,44,26968
6984A,36,19577
6985A,29,7898
6986A,27,8717
6987A,16,1848
6988A,22,5069
6989A,15,749
6990A,17,1517
6991A,27,6085
6992A,50,43712
6993A,30,7583
6994A,35,16581
6995A,47,41885
6996A,42,23801
6997A,38,21559
6998A,38,17738
6999A,33,13664
7000A,30,8747
7001A,16,1378
7002A,33,12159
7003A,34,17876
7004A,41,26382
7005A,30,9656
7006A,50,45027
7007A,20,3565
7008A,12,768
7009A,34,12069
7010A,49,41898
7011A,16,1029
7012A,38,19261
7013A,28,8232
7014A,28,8060
7015A,27,7131
7016A,26,5108
7017A,45,32775
7018A,33,12174
7019A,40,27581
7020A,14,903
7021A,16,2324
7022A,43,27853
7023A,36,15431
7024A,38,23210
7025A,19,3474
7026A,37,22948
7027A,36,15842
7028A,12,793
7029A,26,6628
7030A,44,28861
7031A,13,897
7032A,50,46672
7033A,34,18072
7034A,30,9202
7035A,50,41913
7036A,19,3749
7037A,19,2979
7038A,33,13581
7039A,34,12193
7040A,50,53983
7041A,31,9783
7042A,46,38497
7043A,37,18683
7044A,41,29924
7045A,29,8153
7046A,40,25715
7047A,12,926
7048A,23,3210
7049A,19,4134
7050A,15,1113
7051A,47,36848
7052A,49,41580
7053A,47,33588
7054A,43,25961
7055A,44,30896
7056A,29,8880
7057A,20,3674
7058A,43,31155
7059A,17,1156
7060A,39,19300
7061A,15,1024
7062A,16,2850
7063A,34,15679
7064A,17,3146
7065A,22,4169
7066A,50,50030
7067A,36,19988
7068A,37,21076
7069A,41,27800
7070A,49,46442
7071A,15,2309
7072A,17,3154
7073A,29,7510
7074A,22,3873
7075A,45,30828
7076A,17,1261
7077A,30,11415
7078A,15,1473
7079A,40,21085
7080A,42,26237
7081A,37,16148
7082A,30,12525
7083A,22,4781
7084A,11,374
7085A,15,1150
7086A,10,271
7087A,13,681
7088A,17,1401
7089A,16,2821
7090A,19,4147
7091A,20,3979
7092A,14,1046
7093A,15,2211
7094A,10,492
7095A,20,4787
